Primary Dealer|Holding Company|Ticker|Start Date|End Date|Permco|gvkey
KIDDER, PEABODY & CO., INCORPORATED|General Electric Company|GE (NYSE)|2/7/1979|12/30/1994|20792|005047
KLEINWORT BENSON  GOV'T SEC., INC.|Kleinwort Benson Group|N/A|2/13/1980|12/27/1989||
Lehman|Lehman Brothers Holdings Inc. |N/A|2/22/1973|1/29/1974|21606|030128
Lehman|Lehman Brothers Holdings Inc. |N/A|11/25/1976|9/22/2008|21606|030128
L.F.ROTHSCHILD & CO., INC.|N/A|N/A|12/11/1986|1/17/1989|25825|012223
LLOYDS GOV'T SECURITIES, INC.|LLOYDS BANKING GROUP PLC|LLOY (LSE)|12/22/1987|4/28/1989|42417|015929
MALON S. ANDRUS INC.|N/A|N/A|5/19/1960|11/24/1965||
MANUFACTURERS HANOVER SECURITIES COR|Manufacturers Hanover Corporation|MHC|8/31/1983|12/31/1991|21150|007003
MERRILL LYNCH GOVERNMENT SEC. INC.|Merrill Lynch & Co., Inc|MER|5/19/1960|2/11/2009|21190|007267
MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED|Bank of America Corporation|BAC (NYSE)|11/1/2010|Current|3151|007647
MF GLOBAL INC.|MF Global Holdings Ltd.|N/A|2/2/2011|10/31/2011|52536|177745
MIDLAND-MONTAGU GOV. SEC.,INC.|HSBC Holdings plc (historical)|HSBA (LSE)|8/13/1975|7/26/1990|35175|015509
MIZUHO SECURITIES USA INC.|Mizuho Financial Group, Inc.|8411 (Tokyo)|4/1/2002|Current|51429|248136
MORGAN STANLEY & CO. LLC|Morgan Stanley Group Inc.|MS (NYSE)|2/1/1978|Current|21224|012124
NationsBanc|NationsBank Corporation|N/A|7/6/1993|5/16/1999||
Nesbitt Burns|Bank of Montreal|BMO (NYSE, TSX)|6/1/1995|2/14/2000|29146|015580
THE NIKKO SECURITIES CO. INT|Nikko Securities Co., Ltd.|8601|12/22/1987|1/3/1999||
NOMURA SECURITIES INTERNATIONAL, INC.|Nomura Holdings, Inc.|8604 (Tokyo)|7/27/2009|Current|42522|015613
NOMURA SECURITIES INTERNATIONAL,INC|Nomura Holdings, Inc.|8604 (Tokyo)|12/11/1986|11/30/2007|42522|015613
Northern Trust|Northern Trust Corporation|NTRS (NASDAQ)|8/8/1973|5/29/1986|3275|007982
NUVEEN GOV'T SEC. INC.|Nuveen Corporation|N/A|11/18/1971|8/27/1980||
NY Hanseatic|N/A|N/A|2/8/1984|7/26/1984||
Paine Webber|PaineWebber Group Inc.|UBSG (SIX Swiss Ex)|6/22/1972|6/27/1973|21359|008299
Paine Webber|PaineWebber Group Inc.|UBSG (SIX Swiss Ex)|11/25/1976|12/4/2000|21359|008299
PARIBAS CORPORATION|BNP Paribas Group|BNP (Euronext Paris)|5/1/1997|9/14/2000||
WM. E. POLLOCK GOV'T SECURITIES,INC|WESTPAC BANKING CORP|WEBNF|5/19/1960|2/3/1987|22027|015362
PRUDENTIAL-BACHE|Prudential Financial Inc.|PRU (NYSE)|10/29/1975|12/1/2000|42524|143356
REFCO PARTNERS|Refco Group Ltd.|N/A|11/19/1980|5/7/1987|47194|163770
Robertson Stephens|BANKBOSTON CORP|BKB.2|10/1/1997|9/30/1998|20264|002014
RBC CAPITAL MARKETS, LLC|ROYAL BANK OF CANADA|RY (NYSE, TSX)|7/8/2009|Current|29151|015633
SMITH BARNEY, HARRIS UPHAM & CO.,INC|PRIMERICA INC|PRI|5/19/1960|4/6/2003|22177|001414
SANWA SECURITIES (USA) CO., L|Sanwa Bank Ltd.|N/A|6/20/1988|7/20/1998||
SBC WARBURG DILLON READ INC.|Swiss Bank Corporation (SBC)|SBC|3/29/1990|6/28/1998||
SECOND DISTRICT SECURITIES CO., INC|N/A|N/A|6/15/1961|8/27/1980||
Securities Groups|N/A|N/A|5/19/1960|6/5/1983||
SECURITY PACIFIC NATIONAL BANK|Security Pacific Corporation|6020|12/11/1986|1/17/1991|4205|009577
SG AMERICAS SECURITIES, LLC|Société Générale S.A.|GLE (Euronext Paris)|2/2/2011|Current||
SG COWEN SECURITIES CORP.|Société Générale S.A.|GLE (Euronext Paris)|7/1/1999|10/31/2001||
S.G. WARBURG & CO., INC.|S.G. Warburg Group PLC|UBS (NYSE)|6/24/1988|7/26/1995||
SMITH BARNEY, HARRIS UPHAM & CO.,INC|Primerica Corporation|PRI|8/22/1979|8/31/1998|22177|001414
SOUTHERN CALIF S&L ASSOC|California Federal Savings and Loan Association|N/A|6/7/1983|8/5/1983|5884|002612
TD SECURITIES (USA) LLC|The Toronto-Dominion Bank|TD (NYSE, TSX)|2/11/2014|Current|29152|015706
RBS SECURITIES INC.|The Royal Bank of Scotland Group PLC|N/A|4/1/2009|Current||
THOMSON MCKINNON SECURITIES INC.|Thomson McKinnon Group Inc.|N/A|12/11/1986|7/7/1989||
UBS SECURITIES LLC.|UBS Group AG|UBSG (SIX Swiss Ex)|12/7/1989|Current|37504|144496
WEEDEN & CO., INC.|Merrill Lynch & Co., Inc.|N/A|6/17/1976|5/15/1978|21190|007267
WERTHEIM SCHRODER & CO., INC.|Schroder Wertheim & Co. Inc.|N/A|6/24/1988|11/8/1990||
WESTPAC POLLOCK GOV'T SECURITIES INC|Westpac Banking Corporation|WBK (NYSE)|2/4/1987|6/27/1990|22027|015362
WHITE, WELD & CO INC.|Merrill Lynch & Co., Inc.|N/A|2/26/1976|4/18/1978|21190|007267
YAMAICHI INT'L (AMERICA), INC.|Yamaichi Securities Company Limited|N/A|9/29/1988|12/4/1997||
Zions|Zions Bancorporation|ZION (NASDAQ)|8/11/1993|3/31/2002|21305|008007
